ï..number,username,age,done,start,psu,survey,form.Demographiques_introduction.region,form.Demographiques_introduction.region_no,form.Demographiques_introduction.region_exno
302,ahinsia,41,8/28/2016 14:27,8/28/2016 13:50,14,11,exno,---,Maroua
1049,ahinsia,45,8/28/2016 14:45,8/28/2016 14:33,14,12,exno,---,Maroua
174,ahinsia,19,8/28/2016 15:24,8/28/2016 14:57,14,13,exno,---,Maroua
120,ahinsia,22,8/28/2016 16:04,8/28/2016 15:49,14,14,exno,---,Maroua
118,ahinsia,24,8/28/2016 16:23,8/28/2016 16:11,14,15,exno,---,Maroua
480,ahinsia,46,10/6/2016 8:21,10/6/2016 7:52,15,1,exno,---,Meskine
481,ahinsia,20,10/6/2016 8:44,10/6/2016 8:24,15,2,exno,---,Meskine
725,ahinsia,28,10/6/2016 9:02,10/6/2016 8:49,15,3,exno,---,Meskine
723,ahinsia,19,10/6/2016 9:25,10/6/2016 9:12,15,4,exno,---,Meskine
482,ahinsia,41,10/6/2016 9:46,10/6/2016 9:31,15,5,exno,---,Meskine
229,ahinsia,33,10/6/2016 10:30,10/6/2016 10:00,15,6,exno,---,Meskine
983,ahinsia,24,10/6/2016 10:52,10/6/2016 10:42,15,7,exno,---,Meskine
724,ahinsia,18,10/6/2016 11:08,10/6/2016 10:56,15,8,exno,---,Meskine
473,ahinsia,20,10/7/2016 7:29,10/7/2016 7:20,15,9,exno,---,Meskine
720,ahinsia,31,10/7/2016 7:52,10/7/2016 7:32,15,10,exno,---,Meskine
717,ahinsia,34,10/7/2016 8:20,10/7/2016 7:59,15,11,exno,---,Meskine
474,ahinsia,21,10/7/2016 8:32,10/7/2016 8:25,15,12,exno,---,Meskine
718,ahinsia,31,10/7/2016 8:59,10/7/2016 8:39,15,13,exno,---,Meskine
980,ahinsia,19,10/7/2016 9:21,10/7/2016 9:03,15,14,exno,---,Meskine
719,ahinsia,19,10/7/2016 9:35,10/7/2016 9:25,15,15,exno,---,Meskine
1138,amadi,36,8/6/2016 16:57,8/6/2016 16:38,16,1,no,Guider,---
1226,amadi,31,8/6/2016 17:36,8/6/2016 17:11,16,2,no,Guider,---
551,amadi,25,8/7/2016 5:57,8/7/2016 5:42,16,3,no,Guider,---
919,amadi,18,8/7/2016 7:22,8/7/2016 7:08,16,4,no,Guider,---
1056,amadi,46,8/7/2016 7:57,8/7/2016 7:48,16,5,no,Guider,---
528,amadi,37,8/7/2016 8:21,8/7/2016 8:08,16,6,no,Guider,---
1250,amadi,41,8/7/2016 8:49,8/7/2016 8:34,16,7,no,Guider,---
816,amadi,52,8/7/2016 9:31,8/7/2016 9:15,16,8,no,Guider,---
920,amadi,28,8/7/2016 13:43,8/7/2016 12:43,16,9,no,Guider,---
398,amadi,39,8/7/2016 15:08,8/7/2016 14:52,16,10,no,Guider,---
421,amadi,40,8/7/2016 16:10,8/7/2016 15:50,16,11,no,Guider,---
422,amadi,37,8/7/2016 17:04,8/7/2016 16:52,16,12,no,Guider,---
1139,amadi,23,8/8/2016 10:49,8/8/2016 10:30,17,1,no,Guider,---
1227,amadi,27,8/8/2016 12:39,8/8/2016 12:30,17,2,no,Guider,---
910,amadi,21,8/8/2016 13:10,8/8/2016 12:51,17,3,no,Guider,---
87,amadi,24,8/8/2016 13:44,8/8/2016 13:22,17,4,no,Guider,---
140,amadi,44,8/8/2016 15:01,8/8/2016 14:40,17,5,no,Guider,---
1140,amadi,29,8/8/2016 15:29,8/8/2016 15:08,17,6,no,Guider,---
1141,amadi,33,8/8/2016 16:01,8/8/2016 15:40,17,7,no,Guider,---
1251,amadi,38,8/8/2016 16:44,8/8/2016 16:24,17,8,no,Guider,---
399,amadi,41,8/9/2016 7:35,8/9/2016 7:06,17,9,no,Guider,---
141,amadi,40,8/9/2016 10:41,8/9/2016 10:12,17,10,no,Guider,---
773,amadi,30,8/9/2016 11:10,8/9/2016 10:47,17,11,no,Guider,---
1252,amadi,55,8/9/2016 11:41,8/9/2016 11:22,17,12,no,Guider,---
342,amadi,35,8/9/2016 12:53,8/9/2016 12:38,17,13,no,Guider,---
911,amadi,30,8/9/2016 13:22,8/9/2016 13:14,17,14,no,Guider,---
400,amadi,78,8/9/2016 13:56,8/9/2016 13:34,17,15,no,Guider,---
529,amadi,44,8/9/2016 14:40,8/9/2016 14:19,17,16,no,Guider,---
912,amadi,50,8/9/2016 15:07,8/9/2016 14:46,17,17,no,Guider,---
1228,amadi,25,8/10/2016 7:18,8/10/2016 7:08,18,1,no,Guider,---
143,amadi,36,8/10/2016 10:06,8/10/2016 9:56,18,2,no,Guider,---
1208,amadi,35,8/10/2016 10:36,8/10/2016 10:15,18,3,no,Guider,---
1058,amadi,32,8/10/2016 11:15,8/10/2016 10:44,18,4,no,Guider,---
1059,amadi,25,8/10/2016 11:46,8/10/2016 11:22,18,5,no,Guider,---
762,amadi,52,8/10/2016 12:17,8/10/2016 11:57,18,6,no,Guider,---
144,amadi,20,8/10/2016 12:46,8/10/2016 12:24,18,7,no,Guider,---
675,amadi,25,8/10/2016 13:10,8/10/2016 12:53,18,8,no,Guider,---
837,amadi,29,8/10/2016 13:36,8/10/2016 13:16,18,9,no,Guider,---
838,amadi,38,8/10/2016 15:11,8/10/2016 14:45,18,10,no,Guider,---
355,amadi,50,8/10/2016 16:05,8/10/2016 15:21,18,11,no,Guider,---
284,amadi,45,8/10/2016 16:25,8/10/2016 16:05,18,12,no,Guider,---
643,amadi,47,8/10/2016 16:55,8/10/2016 16:33,18,13,no,Guider,---
883,amadi,51,8/11/2016 9:22,8/11/2016 8:14,19,1,no,Guider,---
1180,amadi,46,8/11/2016 9:37,8/11/2016 9:22,19,2,no,Guider,---
58,amadi,40,8/11/2016 10:05,8/11/2016 9:46,19,3,no,Guider,---
27,amadi,19,8/11/2016 10:41,8/11/2016 10:15,19,4,no,Guider,---
145,amadi,25,8/11/2016 11:17,8/11/2016 10:53,19,5,no,Guider,---
1144,amadi,19,8/11/2016 11:31,8/11/2016 11:18,19,6,no,Guider,---
798,amadi,43,8/11/2016 11:52,8/11/2016 11:34,19,7,no,Guider,---
285,amadi,33,8/11/2016 14:14,8/11/2016 13:48,19,8,no,Guider,---
187,amadi,29,8/11/2016 15:41,8/11/2016 14:16,19,9,no,Guider,---
356,amadi,20,8/11/2016 16:07,8/11/2016 15:43,19,10,no,Guider,---
868,amadi,40,8/11/2016 16:49,8/11/2016 16:31,19,11,no,Guider,---
1181,amadi,30,8/11/2016 17:18,8/11/2016 16:59,19,12,no,Guider,---
763,amadi,30,8/11/2016 17:27,8/11/2016 17:18,19,13,no,Guider,---
156,amadi,28,8/12/2016 6:09,8/12/2016 5:55,20,1,no,Guider,---
1182,amadi,56,8/12/2016 6:33,8/12/2016 6:16,20,2,no,Guider,---
1209,amadi,52,8/12/2016 7:13,8/12/2016 6:49,20,3,no,Guider,---
1145,amadi,35,8/12/2016 8:01,8/12/2016 7:53,20,4,no,Guider,---
1110,amadi,47,8/12/2016 8:08,8/12/2016 8:01,20,5,no,Guider,---
